Name,Website
Cooper,http://www.emilyacooper.org
Pillow,http://pillowlab.princeton.edu/
Serences,https://serenceslab.ucsd.edu/
Duncker,https://leaduncker.github.io/
Birman,https://danbirman.com
Cohen,http://cohenlab.com/
Boynton,http://faculty.washington.edu/gboynton/
Horwitz,http://faculty.washington.edu/ghorwitz/
Brainard,http://color.psych.upenn.edu/brainard/
Carandini,http://www.carandinilab.net/
Chichilnisky,http://neurosurgery.stanford.edu/research/chichilnisky/
Churchland,http://churchlandlab.cshl.edu/
DiCarlo,http://dicarlolab.mit.edu/
Fairhall,http://fairhalllab.com/
Gjorgjieva,http://www.people.fas.harvard.edu/~gjorgjieva/
Huk,http://motion.cps.utexas.edu/
Kiani,http://www.cns.nyu.edu/kianilab/Home.html
Ma,http://www.cns.nyu.edu/malab/
Movshon,http://www.cns.nyu.edu/corefaculty/Movshon.html
Palmer,http://pondside.uchicago.edu/oba/faculty/palmer_s.html
Read,http://www.jennyreadresearch.com/
Rieke,http://rieke-server.physiol.washington.edu/
Rust,http://www.psych.upenn.edu/people/nrust
Simoncelli,http://www.cns.nyu.edu/~eero/
Shlens,http://research.google.com/pubs/JonathonShlens.html
Treue,https://www.dpz.eu/en/unit/cognitive-neurosciences/about-us.html
Popovic,https://sites.google.com/site/marjenap/
Wallisch,http://pensees.pascallisch.net/
DeAngelis,http://www.bcs.rochester.edu/people/gdeangelis/
Heeger,http://www.cns.nyu.edu/~david/
Li,http://www0.cs.ucl.ac.uk/staff/Z.Li/
Olshausen,http://redwood.berkeley.edu/bruno/
Priebe,http://w3.biosci.utexas.edu/priebe/labsite/Home.html
Freeman,http://www.jeremyfreeman.net/
Carrasco,http://www.psych.nyu.edu/carrascolab/people/marisa.html
Fine,http://faculty.washington.edu/ionefine/
Geisler,http://www.psy.utexas.edu/psy/FACULTY/Geisler/Geisler.html
Kohn,http://neuroscience.aecom.yu.edu/faculty/primary_faculty_pages/kohn.html
Kriegeskorte,http://www.mrc-cbu.cam.ac.uk/people/nikolaus.kriegeskorte/
Maunsell,http://maunsell.med.harvard.edu/
Moore,http://biox.stanford.edu/clark/moore.html
Shadlen,http://www.shadlen.org
Adelson,http://web.mit.edu/persci/people/adelson
Chance,http://chancelab.bio.uci.edu/
Dan,http://vision.berkeley.edu/vsp/content/faculty/facprofiles/dan.html
Gold,http://www.med.upenn.edu/ins/faculty/joshgold.htm
Krekelberg,http://vision.rutgers.edu/klab/
Mitra,http://www.mitralab.org/about-us
Parker,http://www.neuroscience.ox.ac.uk/directory/andrew-parker
Pasupathy,http://depts.washington.edu/shapelab
Reinagel,http://www-biology.ucsd.edu/faculty/reinagel.html
Thiele,http://www.staff.ncl.ac.uk/alex.thiele/
Tong,http://www.psy.vanderbilt.edu/tonglab/web/Frank_Tong.html
Demb,http://www.umich.edu/~neurosci/faculty/jdemb.htm
Field,http://www.snl.salk.edu/~gfield
Abbott,http://neurotheory.columbia.edu/~larry/
Gallant,http://neuroscience.berkeley.edu/users/users_profile.php?rid=12
Kanwisher,http://web.mit.edu/bcs/nklab/
Lewicki,http://www.cs.cmu.edu/~lewicki/
Platt,http://www.mind.duke.edu/faculty/platt/
Ringach,http://web.mac.com/darioringach/lab/Welcome.html
Victor,http://www-users.med.cornell.edu/~jdvicto/jdvonweb.html
Glimcher,http://www.cns.nyu.edu/corefaculty/Glimcher.html
Borghuis,http://retina.anatomy.upenn.edu/~bart/
Cullen,http://www.medicine.mcgill.ca/physio/cullenlab/
Cumming,http://neuroscience.nih.gov/Lab.asp?Org_ID=441
Kersten,http://vision.psych.umn.edu/users/kersten/kersten-lab/kersten-lab.html
Rosenholtz,http://web.mit.edu/rruth/www/
Verghese,http://www.ski.org/Verghese_Lab/
Atkeson,http://www-2.cs.cmu.edu/~cga/
Bizzi,http://web.mit.edu/mcgovern/html/Principal_Investigators/bizzi.shtml
Hildreth,http://www.wellesley.edu/CS/ehildreth.html
Andersen,http://vis.caltech.edu/
Ballard,http://www.cs.utexas.edu/~dana/
Hogan,http://meche.mit.edu/people/faculty/index.html?id=44
Hollerbach,http://www.cs.utah.edu/~jmh/
Hunter,http://meche.mit.edu/people/index.html?id=46
Loeb,http://www.usc.edu/programs/pibbs/site/faculty/loeb_g.htm
McCollum,http://www.legacyhealth.org/body.cfm?id=643
McMahon,http://arep.med.harvard.edu/biophysics/faculty/McMahon96.html
Morgan,http://www.staff.city.ac.uk/~morgan/
Mussa-Ivaldi,http://www.bme.northwestern.edu/faculty_staff/core/mussa-ivaldi.html
Nakayama,http://visionlab.harvard.edu/Members/Ken/nakayama.html
Newsome,http://monkeybiz.stanford.edu/
Pasternak,http://www.urmc.rochester.edu/smd/nanat/faculty-research/lab-pages/TatianaPasternak
Poggio,http://web.mit.edu/mcgovern/html/Principal_Investigators/poggio.shtml
Raibert,http://www.ai.mit.edu/projects/leglab/old-leglab/people/mxr.html
Sekuler,http://people.brandeis.edu/~sekuler/
Simpson,http://www.med.nyu.edu/research/simpsj01.html
Sperling,http://aris.ss.uci.edu/HIPLab/staff/sperling/
Thompson,http://www.cs.utah.edu/~thompson/
Van Essen,http://brainvis.wustl.edu/
Wurtz,http://neuroscience.nih.gov/Lab.asp?Org_ID=251
Horswill,http://www.cs.northwestern.edu/~ian/
Lennie,http://www.bcs.rochester.edu/people/plennie/index.html
Medioni,http://ee.usc.edu/faculty_staff/faculty_directory/medioni.htm
Sejnowski,http://www.salk.edu/faculty/sejnowski.html
Ullman,http://www.wisdom.weizmann.ac.il/~shimon/
Wandell,http://white.stanford.edu/wandell.html
Gegenfurtner,http://www.allpsych.uni-giessen.de/karl/
BÃ¼lthoff,http://www.kyb.tuebingen.mpg.de/bu/
Desimone,http://www.bcs.rochester.edu/people/plennie/index.html
Frisby,http://www.shef.ac.uk/psychology/staff/academic/john-frisby.html
Grimson,http://www.ai.mit.edu/people/welg/welg.html
Grzywacz,http://vpl.usc.edu/people/grzywacz.html
Landy,http://www.cns.nyu.edu/~msl/
Lisberger,http://keck.ucsf.edu/~sgl/
